"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","glycoside catabolic process (GO:0016139)","2/7",0.00109986983640762,0.0944673248617757,0.00343222091085959,0.250935443640523,-4.05843337592609,27.6483348271899,"CG33090;Fuca"
"2","glycogen metabolic process (GO:0005977)","2/10",0.00232296700479776,0.0944673248617757,0.00617054369607844,0.250935443640523,-3.6766966209263,22.2988342098383,"GlyP;GlyS"
"3","carbohydrate catabolic process (GO:0016052)","3/32",0.00165045120950038,0.0944673248617757,0.00507974232548737,0.250935443640523,-3.12516547060745,20.0220181470958,"CG7069;Mal-A7;Mal-B1"
"4","glucosamine-containing compound metabolic process (GO:1901071)","2/8",0.00145942459930186,0.0944673248617757,0.00426237893179314,0.250935443640523,-3.05428017179512,19.9435730381288,"Oscillin;beta4GalNAcTB"
"5","cholesterol transport (GO:0030301)","2/14",0.0046078705382058,0.140540051415277,0.0109311560241618,0.322086253443275,-3.62371788571686,19.4955639985228,"CG9664;Npc1b"
"6","regulation of ATPase activity (GO:0043462)","1/6",0.0433028739952334,0.247309171621313,0.0683073972390649,0.373374490414936,-6.17654259998219,19.3914795291391,"Acf"
"7","positive regulation of cellular catabolic process (GO:0031331)","3/25",0.000794651489467573,0.0944673248617757,0.00267409225808267,0.250935443640523,-2.66698993046515,19.035925776468,"Dcp-1;GlyP;GlyS"
"8","negative regulation of neuromuscular synaptic transmission (GO:1900074)","2/10",0.00232296700479776,0.0944673248617757,0.00617054369607844,0.250935443640523,-3.07243309979036,18.6340303203434,"Dcp-1;Ank2"
"9","N-acetylglucosamine metabolic process (GO:0006044)","2/10",0.00232296700479776,0.0944673248617757,0.00617054369607844,0.250935443640523,-2.89385788717567,17.5509877224261,"Oscillin;beta4GalNAcTB"
"10","monovalent inorganic cation homeostasis (GO:0055067)","1/6",0.0433028739952334,0.247309171621313,0.0683073972390649,0.373374490414936,-5.54538080716575,17.4099241869951,"NKCC"
